InstallOrder,MeasureName,HomeTable,SourceFile,FormatString,DisplayFolder,Description,Required
53,Scored Actual Volume,fact_ForecastAccuracy,planning.dax,"#,##0",Planning\Accuracy,Actual volume at forecast scoring grain,TRUE
54,Scored Forecast Volume,fact_ForecastAccuracy,planning.dax,"#,##0",Planning\Accuracy,Forecast volume with an observed actual at scoring grain,TRUE
55,Forecast Absolute Error,fact_ForecastAccuracy,planning.dax,"#,##0",Planning\Accuracy,Absolute forecast error summed across scored intervals,TRUE
56,Forecast WAPE %,fact_ForecastAccuracy,planning.dax,0.0%,Planning\Accuracy,Absolute forecast error divided by scored actual volume,TRUE
57,Forecast Signed Bias %,fact_ForecastAccuracy,planning.dax,+0.0%;-0.0%;—,Planning\Accuracy,Signed forecast error divided by scored actual volume; positive means over-forecast,TRUE
58,Forecast Intervals Scored,fact_ForecastAccuracy,planning.dax,"#,##0",Planning\Accuracy,Count of forecast intervals with observed actual demand,TRUE
60,Approved Required Paid FTE,fact_SupplyPlan,supply.dax,"#,##0.00",Planning\Supply,Approved paid FTE required at the governed weekly planning grain,TRUE
61,Approved Buffer Paid FTE,fact_SupplyPlan,supply.dax,"#,##0.00",Planning\Supply,Approved paid-FTE buffer above the requirement,TRUE
62,Approved Baseline Paid FTE,fact_SupplyPlan,supply.dax,"#,##0.00",Planning\Supply,Approved paid FTE available before planned hiring,TRUE
63,Approved Planned Hire Paid FTE,fact_SupplyPlan,supply.dax,"#,##0.00",Planning\Supply,Cumulative approved expected paid FTE from hiring waves proficient by the period,TRUE
64,Approved Projected Paid FTE,fact_SupplyPlan,supply.dax,"#,##0.00",Planning\Supply,Approved baseline plus planned-hire paid FTE,TRUE
65,Approved Residual Gap Paid FTE,fact_SupplyPlan,supply.dax,"#,##0.00",Planning\Supply,Remaining approved paid-FTE gap after baseline and planned hiring,TRUE
66,Supply Coverage %,fact_SupplyPlan,supply.dax,0.0%,Planning\Supply,Approved projected paid FTE divided by approved requirement plus buffer,TRUE
67,Approved Hiring Heads,fact_HiringPlan,supply.dax,"#,##0",Planning\Hiring,Approved planned hiring heads across governed waves,TRUE
68,Approved Hiring Expected Paid FTE,fact_HiringPlan,supply.dax,"#,##0.00",Planning\Hiring,Approved expected paid FTE after yield and FTE-per-head assumptions,TRUE
69,Late Hiring Waves,fact_HiringPlan,supply.dax,"#,##0",Planning\Hiring,Approved hiring waves whose required recruitment start precedes the plan as-of date,TRUE
70,Approved Pattern Instances,fact_SchedulePlan,schedule_leave.dax,"#,##0",Planning\Schedule,Approved anonymous shift-pattern instances across schedule-plan rows,TRUE
71,Approved Schedule Paid Hours,fact_SchedulePlan,schedule_leave.dax,"#,##0.00",Planning\Schedule,Approved paid hours represented by anonymous shift patterns,TRUE
72,Approved Schedule Productive Hours,fact_SchedulePlan,schedule_leave.dax,"#,##0.00",Planning\Schedule,Approved productive hours represented by anonymous shift patterns,TRUE
73,Scheduled Paid FTE Intervals,fact_ScheduleCoverage,schedule_leave.dax,"#,##0.00",Planning\Coverage,Scheduled paid FTE summed across approved schedule intervals,TRUE
74,Scheduled Productive FTE Intervals,fact_ScheduleCoverage,schedule_leave.dax,"#,##0.00",Planning\Coverage,Scheduled productive FTE summed across approved schedule intervals,TRUE
75,Required FTE Intervals · Schedule,fact_ScheduleCoverage,schedule_leave.dax,"#,##0.00",Planning\Coverage,Required FTE summed at the approved schedule-coverage grain,TRUE
76,Schedule Gap FTE Intervals,fact_ScheduleCoverage,schedule_leave.dax,"#,##0.00",Planning\Coverage,Uncovered required FTE summed across approved schedule intervals,TRUE
77,Schedule Over FTE Intervals,fact_ScheduleCoverage,schedule_leave.dax,"#,##0.00",Planning\Coverage,Productive FTE above requirement summed across approved schedule intervals,TRUE
78,Covered Schedule Intervals %,fact_ScheduleCoverage,schedule_leave.dax,0.0%,Planning\Coverage,Share of approved schedule intervals whose productive coverage meets requirement,TRUE
79,Calculated Leave Allowance Hours,fact_LeavePlan,schedule_leave.dax,"#,##0.00",Planning\Leave,Maximum governed removable staff-hours across approved leave-plan intervals,TRUE
80,Approved Leave Allowance Hours,fact_LeavePlan,schedule_leave.dax,"#,##0.00",Planning\Leave,Approved removable staff-hours across leave-plan intervals,TRUE
81,Leave Capacity Utilization %,fact_LeavePlan,schedule_leave.dax,0.0%,Planning\Leave,Approved leave allowance divided by calculated leave capacity,TRUE
90,Approved Roster Assignments,fact_RosterPlan,roster_publication.dax,"#,##0",Roster\Assignment,Approved named occurrence assignments,TRUE
91,Approved Roster Paid Hours,fact_RosterPlan,roster_publication.dax,"#,##0.00",Roster\Assignment,Approved paid hours assigned to pseudonymous agents,TRUE
92,Approved Roster Productive Hours,fact_RosterPlan,roster_publication.dax,"#,##0.00",Roster\Assignment,Approved productive hours assigned to pseudonymous agents,TRUE
93,Roster Assigned Agents,fact_RosterPlan,roster_publication.dax,"#,##0",Roster\Assignment,Distinct pseudonymous agents in the approved roster context,TRUE
94,Average Paid Hours · Assignment,fact_RosterPlan,roster_publication.dax,"#,##0.00",Roster\Fairness,Average paid hours per approved assignment,TRUE
95,Average Roster Fairness Score,fact_RosterPlan,roster_publication.dax,"#,##0.000",Roster\Fairness,Average deterministic projected-load fairness score,TRUE
96,Roster Preference Cost,fact_RosterPlan,roster_publication.dax,"#,##0.00",Roster\Fairness,Sum of nonnegative soft preference costs,TRUE
97,Roster Occurrence Coverage %,fact_RosterPlan,roster_publication.dax,0.0%,Roster\Coverage,Approved named assignments divided by approved anonymous pattern instances,TRUE
100,Named Leave Decisions,fact_LeaveRequestDecision,roster_publication.dax,"#,##0",Roster\Leave,Approved named leave decision rows,TRUE
101,Named Leave Requests Approved,fact_LeaveRequestDecision,roster_publication.dax,"#,##0",Roster\Leave,Named leave decisions recommended for full approval,TRUE
102,Named Leave Requests Declined,fact_LeaveRequestDecision,roster_publication.dax,"#,##0",Roster\Leave,Named leave decisions recommended for decline,TRUE
103,Named Leave Requests · Review,fact_LeaveRequestDecision,roster_publication.dax,"#,##0",Roster\Leave,Named leave decisions requiring human review,TRUE
104,Named Leave Approved Hours,fact_LeaveRequestDecision,roster_publication.dax,"#,##0.00",Roster\Leave,Approved full-request paid roster hours,TRUE
105,Named Leave Approval %,fact_LeaveRequestDecision,roster_publication.dax,0.0%,Roster\Leave,Approved named leave requests divided by named leave decisions,TRUE
110,Swap Decisions,fact_SwapDecision,roster_publication.dax,"#,##0",Roster\Swap,Approved bilateral whole-occurrence swap decision rows,TRUE
111,Swaps Approved,fact_SwapDecision,roster_publication.dax,"#,##0",Roster\Swap,Swap decisions recommended for approval after complete-roster revalidation,TRUE
112,Swap Approval %,fact_SwapDecision,roster_publication.dax,0.0%,Roster\Swap,Approved swaps divided by swap decisions,TRUE
120,Roster Publications,fact_RosterPublication,roster_publication.dax,"#,##0",Roster\Publication,Controlled published roster versions,TRUE
121,Published Roster Scheduled Hours,fact_PublishedRosterSegment,roster_publication.dax,"#,##0.00",Roster\Publication,Published paid scheduled seconds expressed as hours,TRUE
122,Published Roster Productive Hours,fact_PublishedRosterSegment,roster_publication.dax,"#,##0.00",Roster\Publication,Published productive scheduled seconds expressed as hours,TRUE
